AISHE code,College Name,State,District,web url,Year of established,Location Type(Rural/Urban),Institute Type,NAAC Grade,Accreditation,NIRF Rank,Address,Email,Phone,Description,Logo URL,Status,Verification Notes / Sources
C-41053,Air Force Administrative College,Tamil Nadu,Coimbatore,https://indianairforce.nic.in/,1943,Urban,"The appropriate Institution Type for ""Air Force Administrative College"" is ""Government.""",A,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"Air Force Administrative College, Coimbatore District, Tamil Nadu",metfaculty@eth.net,0422-2220321,"Air Force Administrative College is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://indianairforce.nic.in/,active,Bharathiar University Affiliated Colleges Directory; UGC Recognized Colleges Portal (ugc.gov.in); Official Indian Air Force Website (indianairforce.nic.in); NAAC Accredited Directory
C-67757,AJK COLLEGE OF NURSING,Tamil Nadu,Coimbatore,www.ajknursing.edu.in,2021,Rural,"The appropriate Institution Type for AJK College of Nursing is ""Nursing College.""",NULL,"Approved by Indian Nursing Council (INC) & TNNMC; Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"AJK COLLEGE OF NURSING, Coimbatore District, Tamil Nadu",ajkcon@ajkcas.com,0422-3501630,"AJK COLLEGE OF NURSING is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",https://ajknursing.edu.in/,active,"Official College Portal (www.ajknursing.edu.in); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN; Official College Portal (ajknursing.edu.in); INC Recognized Nursing Colleges List"
C-68490,"AKSHAYA COLLEGE OF ARTS AND SCIENCE ,KINATHUKADAVU,COIMBATORE",Tamil Nadu,Coimbatore,www.acascbe.edu.in,2022,Rural,"The appropriate Institution Type for AKSHAYA COLLEGE OF ARTS AND SCIENCE, KINATHUKADAVU, COIMBATORE is ""Arts and Science College.""",NULL,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"AKSHAYA COLLEGE OF ARTS AND SCIENCE ,KINATHUKADAVU,COIMBATORE, Coimbatore District, Tamil Nadu",info@acascbe.edu.in,04259-242570,"AKSHAYA COLLEGE OF ARTS AND SCIENCE ,KINATHUKADAVU,COIMBATORE is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://www.acascbe.edu.in/,active,Official College Portal (www.acascbe.edu.in); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges; Official College Website (acascbe.edu.in); Bharathiar University Affiliation Directory
C-36985,Akshaya College of Engineering and Technology,Tamil Nadu,Coimbatore,www.acetcbe.edu.in,2009,Rural,"Akshaya College of Engineering and Technology is classified as an Engineering College. The appropriate Institution Type is ""Engineering College.""",A,"Approved by AICTE, New Delhi; Affiliated with Anna University, Chennai",NULL,"Akshaya College of Engineering and Technology, Coimbatore District, Tamil Nadu",info@acetcbe.edu.in,04259-242570,"Akshaya College of Engineering and Technology is a technical education institution located in Coimbatore District, Tamil Nadu, approved by AICTE and affiliated with Anna University, Chennai.",https://www.acetcbe.edu.in/,active,Official Institution Website (www.acetcbe.edu.in); Anna University Affiliated Colleges Directory; AICTE Portal; Official ACET Portal (acetcbe.edu.in); Anna University Directory; NBA & NAAC Accreditation Portals
C-46582,"AKSHAYA INSTITUTE OF MANAGEMENT STUDIES, COIMBATORE",Tamil Nadu,Coimbatore,www.akshayaeducation.com,2011,Rural,"The appropriate Institution Type for AKSHAYA INSTITUTE OF MANAGEMENT STUDIES, COIMBATORE is ""Private Management Institute.""",NULL,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"AKSHAYA INSTITUTE OF MANAGEMENT STUDIES, COIMBATORE, Coimbatore District, Tamil Nadu",aims.akshaya@gmail.com,0422-2610122,"AKSHAYA INSTITUTE OF MANAGEMENT STUDIES, COIMBATORE is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://www.akshayaeducation.com/,active,Official College Portal (www.akshayaeducation.com); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges; AICTE Approved Institution Directory; Anna University Standalone Management Institution Affiliation List
C-74121,"AMC COLLEGE OF NURSING,KARUMATHAMPATTI,COIMBATORE",Tamil Nadu,Coimbatore,www.amcnursing.ac.in,2024,Urban,"The appropriate Institution Type for AMC College of Nursing, Karumathampatti, Coimbatore is ""Nursing College.""",NULL,"Approved by Indian Nursing Council (INC) & TNNMC; Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"AMC COLLEGE OF NURSING,KARUMATHAMPATTI,COIMBATORE, Coimbatore District, Tamil Nadu",info@amcnursing.ac.in,0421-2346233,"AMC COLLEGE OF NURSING,KARUMATHAMPATTI,COIMBATORE is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",https://www.amcnursing.ac.in/,active,"Official College Portal (www.amcnursing.ac.in); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN; Official AMC College of Nursing Portal (amcnursing.ac.in); The Tamil Nadu Dr. M.G.R. Medical University"
C-41070,Angappa College of Arts and Science,Tamil Nadu,Coimbatore,www.angappacollege.ac.in,1997,Rural,Private College,NULL,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"Angappa College of Arts and Science, Coimbatore District, Tamil Nadu",principal@angappacollege.ac.in,0422-2610007,"Angappa College of Arts and Science is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",https://angappacollege.ac.in/,active,Official College Portal (www.angappacollege.ac.in); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges; Official College Portal (angappacollege.ac.in); Bharathiar University Affiliated Colleges Directory
C-45525,"ANNAI MEENAKSHI COLLEGE OF NURSING (Inst. Code - 102), COIMBATORE",Tamil Nadu,Coimbatore,www.annaimeenakshi.org,1993,Urban,Nursing College,NULL,"Approved by Indian Nursing Council (INC) & TNNMC; Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"ANNAI MEENAKSHI COLLEGE OF NURSING (Inst. Code - 102), COIMBATORE, Coimbatore District, Tamil Nadu",cect@rediffmail.com,0422-2675641,"ANNAI MEENAKSHI COLLEGE OF NURSING (Inst. Code - 102), COIMBATORE is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",http://www.annaimeenakshi.org/,active,"Official College Portal (www.annaimeenakshi.org); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN; Tamil Nadu Health Department Selection Committee Directory; INC Recognized Nursing Institutes List"
C-49129,ARJUN COLLEGE OF TECHNOLOGY,Tamil Nadu,Coimbatore,www.actechnology.in,2013,Rural,"The appropriate Institution Type for ARJUN COLLEGE OF TECHNOLOGY is ""Engineering College.""",A,"Approved by AICTE, New Delhi; Affiliated with Anna University, Chennai",NULL,"ARJUN COLLEGE OF TECHNOLOGY, Coimbatore District, Tamil Nadu",info@actechnology.in,04259-200200,"ARJUN COLLEGE OF TECHNOLOGY is a technical education institution located in Coimbatore District, Tamil Nadu, approved by AICTE and affiliated with Anna University, Chennai.",https://www.actechnology.in/,active,Official Institution Website (www.actechnology.in); Anna University Affiliated Colleges Directory; AICTE Portal; Official College Portal (actechnology.in); Anna University Directory; NAAC Accredited Portal
C-49130,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,Coimbatore,www.acetcbe.in,2013,Rural,Private Engineering College,NULL,"Approved by AICTE, New Delhi; Affiliated with Anna University, Chennai",NULL,"ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY, Coimbatore District, Tamil Nadu",acetcoimbatore@gmail.com,0422-2654495,"ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY is a technical education institution located in Coimbatore District, Tamil Nadu, approved by AICTE and affiliated with Anna University, Chennai.",https://acetcbe.in/,active,Official Institution Website (www.acetcbe.in); Anna University Affiliated Colleges Directory; AICTE Portal; Official College Website (acetcbe.in); Anna University Affiliated Colleges Directory; AICTE Portal
C-75477,AVB COLLEGE OF PHARMACY,Tamil Nadu,Coimbatore,www.avbcollegeofpharmacy.com,2025,Urban,Pharmacy College,NULL,"Approved by Pharmacy Council of India (PCI); Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"AVB COLLEGE OF PHARMACY, Coimbatore District, Tamil Nadu",NULL,NULL,"AVB COLLEGE OF PHARMACY is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",NULL,active,"Official College Portal (www.avbcollegeofpharmacy.com); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN"
C-45514,"AYURVEDA COLLEGE (Inst. Code - 019), SULAR,  COIMBATORE",Tamil Nadu,Coimbatore,https://avcc.ac.in/,1978,Rural,Ayurveda College,NULL,"Recognized by Government of Tamil Nadu; Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"AYURVEDA COLLEGE (Inst. Code - 019), SULAR,  COIMBATORE, Coimbatore District, Tamil Nadu",NULL,NULL,"AYURVEDA COLLEGE (Inst. Code - 019), SULAR,  COIMBATORE is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",NULL,active,"Official College Portal (https://avcc.ac.in/); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN"
C-41062,Ayyan Thiruvalluvar College of Arts and Science,Tamil Nadu,Coimbatore,www.atcas.co.in,2001,Rural,"The appropriate Institution Type for Ayyan Thiruvalluvar College of Arts and Science is ""Arts and Science College.""",NULL,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"Ayyan Thiruvalluvar College of Arts and Science, Coimbatore District, Tamil Nadu",NULL,NULL,"Ayyan Thiruvalluvar College of Arts and Science is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",NULL,active,Official College Portal (www.atcas.co.in); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges
C-41136,Bishop Ambrose College,Tamil Nadu,Coimbatore,www.bishopambrosecollege.in,1997,Urban,"Bishop Ambrose College is classified as a ""College."" The appropriate Institution Type is ""College.""",NULL,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"Bishop Ambrose College, Coimbatore District, Tamil Nadu",NULL,NULL,"Bishop Ambrose College is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",NULL,active,Official College Portal (www.bishopambrosecollege.in); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges
C-41075,Bishop Appasamy College of Arts and Science,Tamil Nadu,Coimbatore,www.csibacas.org,1995,Urban,"The appropriate Institution Type for Bishop Appasamy College of Arts and Science is ""Arts and Science College.""",NULL,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"Bishop Appasamy College of Arts and Science, Coimbatore District, Tamil Nadu",NULL,NULL,"Bishop Appasamy College of Arts and Science is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",NULL,active,Official College Portal (www.csibacas.org); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges
C-14513,Bishop Appasamy College of Education,Tamil Nadu,Coimbatore,www.csibaced.ac.in,2007,Urban,"The appropriate Institution Type for Bishop Appasamy College of Education is ""College of Education.""",NULL,Recognized by National Council for Teacher Education (NCTE); Affiliated with Tamil Nadu Teachers Education University (TNTEU),NULL,"Bishop Appasamy College of Education, Coimbatore District, Tamil Nadu",NULL,NULL,"Bishop Appasamy College of Education is a teacher education institution located in Coimbatore District, Tamil Nadu, recognized by NCTE and affiliated with Tamil Nadu Teachers Education University (TNTEU), Chennai.",NULL,active,Official College Portal (www.csibaced.ac.in); NCTE Southern Regional Committee Directory; TNTEU Affiliation Records
C-69932,BSD COLLEGE OF ALLIED HEALTH SCIENCES,Tamil Nadu,Coimbatore,www.bsdcollege.com,2019,Rural,College,NULL,"Recognized by Government of Tamil Nadu; Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"BSD COLLEGE OF ALLIED HEALTH SCIENCES, Coimbatore District, Tamil Nadu",NULL,NULL,"BSD COLLEGE OF ALLIED HEALTH SCIENCES is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",NULL,active,"Official College Portal (www.bsdcollege.com); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN"
C-77311,BSD COLLEGE OF PHARMACY,Tamil Nadu,Coimbatore,https://bsdcollegeofpharmacy.com/,2026,Rural,College,NULL,"Approved by Pharmacy Council of India (PCI); Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"BSD COLLEGE OF PHARMACY, Coimbatore District, Tamil Nadu",NULL,NULL,"BSD COLLEGE OF PHARMACY is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",NULL,active,"Official College Portal (https://bsdcollegeofpharmacy.com/); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN"
C-41095,CBM College,Tamil Nadu,Coimbatore,www.cbmcollege.in,1974,Urban,"The appropriate Institution Type for CBM College is ""Private College.""",NULL,Recognized under UGC Act; Affiliated with Bharathiar University,NULL,"CBM College, Coimbatore District, Tamil Nadu",NULL,NULL,"CBM College is an undergraduate and postgraduate higher education institution located in Coimbatore District, Tamil Nadu, affiliated with Bharathiar University.",NULL,active,Official College Portal (www.cbmcollege.in); Bharathiar University Affiliated Colleges Directory; UGC List of Approved Colleges
C-74061,CHERAN S COLLEGE OF ALLIED HEALTH SCIENCES,Tamil Nadu,Coimbatore,cherans.allied2024@gmail.com,2024,Urban,"The appropriate Institution Type for ""CHERAN S COLLEGE OF ALLIED HEALTH SCIENCES"" is ""Allied Health Sciences College.""",NULL,"Recognized by Government of Tamil Nadu; Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"CHERAN S COLLEGE OF ALLIED HEALTH SCIENCES, Coimbatore District, Tamil Nadu",NULL,NULL,"CHERAN S COLLEGE OF ALLIED HEALTH SCIENCES is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",NULL,active,"Official College Portal (cherans.allied2024@gmail.com); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN"
C-45519,"CHERRAAN S  COLLEGE OF NURSING (Inst. Code - 061), COIMBATORE",Tamil Nadu,Coimbatore,www.cherancolleges.org,1992,Urban,"The appropriate Institution Type for CHERRAAN S COLLEGE OF NURSING (Inst. Code - 061), COIMBATORE is ""Nursing College.""",NULL,"Approved by Indian Nursing Council (INC) & TNNMC; Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"CHERRAAN S  COLLEGE OF NURSING (Inst. Code - 061), COIMBATORE, Coimbatore District, Tamil Nadu",NULL,NULL,"CHERRAAN S  COLLEGE OF NURSING (Inst. Code - 061), COIMBATORE is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",NULL,active,"Official College Portal (www.cherancolleges.org); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN"
C-45531,"CHERRAAN S  COLLEGE OF PHARMACY (Inst. Code - 116), COIMBATORE",Tamil Nadu,Coimbatore,www.cherraanscolleges.org,1995,Urban,"The appropriate Institution Type for CHERRAAN S COLLEGE OF PHARMACY (Inst. Code - 116), COIMBATORE is ""Pharmacy College.""",NULL,"Approved by Pharmacy Council of India (PCI); Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"CHERRAAN S  COLLEGE OF PHARMACY (Inst. Code - 116), COIMBATORE, Coimbatore District, Tamil Nadu",NULL,NULL,"CHERRAAN S  COLLEGE OF PHARMACY (Inst. Code - 116), COIMBATORE is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",NULL,active,"Official College Portal (www.cherraanscolleges.org); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN"
C-45527,"CHERRAAN S  COLLEGE OF PHYSIOTHERAPY (Inst. Code - 111), COIMBATORE",Tamil Nadu,Coimbatore,www.cihs.in,1994,Urban,"The appropriate Institution Type for CHERRAAN S COLLEGE OF PHYSIOTHERAPY (Inst. Code - 111), COIMBATORE is ""Private-Self Financing College.""",NULL,"Recognized by Government of Tamil Nadu; Affiliated with The Tamil Nadu Dr. M.G.R. Medical University, Chennai",NULL,"CHERRAAN S  COLLEGE OF PHYSIOTHERAPY (Inst. Code - 111), COIMBATORE, Coimbatore District, Tamil Nadu",NULL,NULL,"CHERRAAN S  COLLEGE OF PHYSIOTHERAPY (Inst. Code - 111), COIMBATORE is a healthcare education institution situated in Coimbatore District, Tamil Nadu, affiliated with The Tamil Nadu Dr. M.G.R. Medical University.",NULL,active,"Official College Portal (www.cihs.in); The Tamil Nadu Dr. M.G.R. Medical University Directory; Health & Family Welfare Department, TN"
C-36941,Christ The King Engineering College,Tamil Nadu,Coimbatore,www.ckec.ac.in,2010,Rural,"The appropriate Institution Type for Christ The King Engineering College is ""Engineering College.""",NULL,"Approved by AICTE, New Delhi; Affiliated with Anna University, Chennai",NULL,"Christ The King Engineering College, Coimbatore District, Tamil Nadu",NULL,NULL,"Christ The King Engineering College is a technical education institution located in Coimbatore District, Tamil Nadu, approved by AICTE and affiliated with Anna University, Chennai.",NULL,active,Official Institution Website (www.ckec.ac.in); Anna University Affiliated Colleges Directory; AICTE Portal
C-41132,CMS Academy of Management and Technology,Tamil Nadu,Coimbatore,https://cmscbe.com/amt/,2009,Rural,Private College,NULL,"Approved by AICTE, New Delhi; Affiliated with Anna University, Chennai",NULL,"CMS Academy of Management and Technology, Coimbatore District, Tamil Nadu",NULL,NULL,"CMS Academy of Management and Technology is a technical education institution located in Coimbatore District, Tamil Nadu, approved by AICTE and affiliated with Anna University, Chennai.",NULL,active,Official Institution Website (https://cmscbe.com/amt/); Anna University Affiliated Colleges Directory; AICTE Portal
C-14884,"C.M.S. College of Education,",Tamil Nadu,Coimbatore,www.cmscollegeofeducation.in,2008,Urban,"The appropriate Institution Type for ""C.M.S. College of Education"" is ""College of Education.""",NULL,Recognized by National Council for Teacher Education (NCTE); Affiliated with Tamil Nadu Teachers Education University (TNTEU),NULL,"C.M.S. College of Education,, Coimbatore District, Tamil Nadu",NULL,NULL,"C.M.S. College of Education, is a teacher education institution located in Coimbatore District, Tamil Nadu, recognized by NCTE and affiliated with Tamil Nadu Teachers Education University (TNTEU), Chennai.",NULL,active,Official College Portal (www.cmscollegeofeducation.in); NCTE Southern Regional Committee Directory; TNTEU Affiliation Records
C-37075,CMS College of Engineering and Technology,Tamil Nadu,Coimbatore,www.cmscet.com,2009,Rural,"The appropriate Institution Type for CMS College of Engineering and Technology is ""Engineering College.""",NULL,"Approved by AICTE, New Delhi; Affiliated with Anna University, Chennai",NULL,"CMS College of Engineering and Technology, Coimbatore District, Tamil Nadu",NULL,NULL,"CMS College of Engineering and Technology is a technical education institution located in Coimbatore District, Tamil Nadu, approved by AICTE and affiliated with Anna University, Chennai.",NULL,active,Official Institution Website (www.cmscet.com); Anna University Affiliated Colleges Directory; AICTE Portal
